Country Name,Country Code,Land Area(Sqkm),Year,ForestArea,ForestArea_pct,ForestArea_per_1000sqkm
Cambodia,KHM,176520.0,2005,106851.15,60.532036029911616,605.3203602991161
Laos,LAO,230800.0,2005,171827.5,74.4486568457539,744.486568457539
Myanmar,MMR,652670.0,2005,331545.55,50.798343726538675,507.9834372653868
Malaysia,MYS,328550.0,2005,193195.0,58.802313194338765,588.0231319433876
Philippines,PHL,298170.0,2005,70744.9,23.726364154676858,237.26364154676858
Singapore,SGP,733.2,2005,173.769,23.700081833060555,237.00081833060554
Thailand,THA,510890.0,2005,195355.0,38.23817260075554,382.38172600755547
Vietnam,VNM,313429.0,2005,125860.8,40.15608000536007,401.5608000536007
Brunei Darussalam,BRN,5270.0,2006,3868.0,73.39658444022771,733.9658444022771
Indonesia,IDN,1877519.0,2006,1003075.2,53.42556852953285,534.2556852953286
Cambodia,KHM,176520.0,2006,106659.38,60.423396782234306,604.2339678223431
Laos,LAO,230800.0,2006,171343.0,74.23873483535529,742.3873483535529
Myanmar,MMR,652670.0,2006,328118.44,50.273252945592716,502.73252945592725
Malaysia,MYS,328550.0,2006,192451.3,58.57595495358393,585.7595495358393
Philippines,PHL,298170.0,2006,70275.36,23.568890230405472,235.68890230405472
Singapore,SGP,733.2,2006,174.496,23.799236224768137,237.9923622476814
Thailand,THA,510890.0,2006,196430.0,38.44858971598583,384.48589715985827
Vietnam,VNM,313429.0,2006,127464.76,40.667825887202525,406.67825887202525
Brunei Darussalam,BRN,5270.0,2007,3851.0,73.07400379506642,730.7400379506641
Indonesia,IDN,1877519.0,2007,1001454.4,53.339241839896154,533.3924183989616
Cambodia,KHM,176520.0,2007,106467.61,60.314757534556996,603.1475753455699
Laos,LAO,230800.0,2007,170858.5,74.02881282495667,740.2881282495667
Myanmar,MMR,652670.0,2007,324691.33,49.74816216464676,497.48162164646766
Malaysia,MYS,328550.0,2007,191707.6,58.3495967128291,583.495967128291
Philippines,PHL,298170.0,2007,69805.82,23.411416306134086,234.11416306134086
Singapore,SGP,733.2,2007,175.223,23.898390616475723,238.98390616475723
Thailand,THA,510890.0,2007,197505.0,38.65900683121611,386.5900683121611
Vietnam,VNM,313429.0,2007,129068.72,41.17957176904498,411.79571769044986
Brunei Darussalam,BRN,5270.0,2008,3834.0,72.75142314990512,727.5142314990513
Indonesia,IDN,1877519.0,2008,999833.6,53.25291515025946,532.5291515025947
Cambodia,KHM,176520.0,2008,106275.84,60.20611828687967,602.0611828687967
Laos,LAO,230800.0,2008,170374.0,73.81889081455806,738.1889081455805
Myanmar,MMR,652670.0,2008,321264.22,49.2230713837008,492.23071383700795
Malaysia,MYS,328550.0,2008,190963.9,58.12323847207427,581.2323847207426
Philippines,PHL,298170.0,2008,69336.28,23.253942381862696,232.53942381862694
Singapore,SGP,733.2,2008,175.95,23.9975450081833,239.97545008183303
Thailand,THA,510890.0,2008,198580.0,38.869423946446396,388.694239464464
Vietnam,VNM,313429.0,2008,130672.68,41.69131765088744,416.9131765088744
Brunei Darussalam,BRN,5270.0,2009,3817.0,72.42884250474383,724.2884250474384
Indonesia,IDN,1877519.0,2009,998212.8,53.16658846062276,531.6658846062277
Cambodia,KHM,176520.0,2009,106084.07,60.09747903920236,600.9747903920236
Laos,LAO,230800.0,2009,169889.5,73.60896880415945,736.0896880415944
Myanmar,MMR,652670.0,2009,317837.11,48.69798060275484,486.97980602754836
Malaysia,MYS,328550.0,2009,190220.2,57.896880231319436,578.9688023131944
Philippines,PHL,298170.0,2009,68866.74,23.09646845759131,230.96468457591308
Singapore,SGP,733.2,2009,176.677,24.096699399890888,240.96699399890886
Thailand,THA,510890.0,2009,199655.0,39.07984106167668,390.79841061676683
Vietnam,VNM,313429.0,2009,132276.64,42.20306353272991,422.0306353272991
Brunei Darussalam,BRN,5270.0,2010,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2010,996592.0,53.08026177098607,530.8026177098607
Cambodia,KHM,176520.0,2010,105892.3,59.98883979152504,599.8883979152504
Laos,LAO,230800.0,2010,169405.0,73.39904679376083,733.9904679376083
Myanmar,MMR,652670.0,2010,314410.0,48.17288982180888,481.72889821808883
Malaysia,MYS,328550.0,2010,189476.5,57.6705219905646,576.705219905646
Philippines,PHL,298170.0,2010,68397.2,22.938994533319917,229.38994533319917
Singapore,SGP,733.2,2010,177.404,24.19585379159847,241.9585379159847
Thailand,THA,510890.0,2010,200730.0,39.29025817690697,392.9025817690697
Vietnam,VNM,313429.0,2010,133880.6,42.714809414572365,427.14809414572363
Brunei Darussalam,BRN,5270.0,2011,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2011,987329.4,52.58691922691595,525.8691922691595
Cambodia,KHM,176520.0,2011,102407.48,58.01466122818943,580.1466122818944
Laos,LAO,230800.0,2011,169060.0,73.24956672443675,732.4956672443674
Myanmar,MMR,652670.0,2011,311512.88,47.72900240550354,477.29002405503553
Malaysia,MYS,328550.0,2011,190509.64,57.98497641150511,579.849764115051
Philippines,PHL,298170.0,2011,68746.06,23.05599490223698,230.55994902236978
Singapore,SGP,733.2,2011,174.866,23.849699945444627,238.49699945444627
Thailand,THA,510890.0,2011,200706.0,39.28556049247392,392.85560492473917
Vietnam,VNM,313429.0,2011,135228.2,43.14476324781689,431.447632478169
Brunei Darussalam,BRN,5270.0,2012,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2012,978066.8,52.09357668284582,520.9357668284582
Cambodia,KHM,176520.0,2012,98922.66,56.04048266485384,560.4048266485383
Laos,LAO,230800.0,2012,168715.0,73.10008665511265,731.0008665511265
Myanmar,MMR,652670.0,2012,308615.76,47.28511498919822,472.85114989198223
Malaysia,MYS,328550.0,2012,191542.78,58.299430832445594,582.9943083244559
Philippines,PHL,298170.0,2012,69094.92,23.17299527115404,231.7299527115404
Singapore,SGP,733.2,2012,172.328,23.50354609929078,235.0354609929078
Thailand,THA,510890.0,2012,200682.0,39.280862808040865,392.8086280804087
Vietnam,VNM,313429.0,2012,136575.8,43.574717081061415,435.7471708106142
Brunei Darussalam,BRN,5270.0,2013,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2013,968804.2,51.60023413877569,516.0023413877569
Cambodia,KHM,176520.0,2013,95437.84,54.066304101518234,540.6630410151823
Laos,LAO,230800.0,2013,168370.0,72.95060658578856,729.5060658578856
Myanmar,MMR,652670.0,2013,305718.64,46.84122757289289,468.41227572892893
Malaysia,MYS,328550.0,2013,192575.92,58.61388525338609,586.1388525338609
Philippines,PHL,298170.0,2013,69443.78,23.2899956400711,232.89995640071098
Singapore,SGP,733.2,2013,169.79,23.157392253136933,231.5739225313693
Thailand,THA,510890.0,2013,200658.0,39.27616512360782,392.76165123607825
Vietnam,VNM,313429.0,2013,137923.4,44.00467091430595,440.04670914305956
Brunei Darussalam,BRN,5270.0,2014,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2014,959541.6,51.10689159470556,511.06891594705564
Cambodia,KHM,176520.0,2014,91953.02,52.09212553818264,520.9212553818264
Laos,LAO,230800.0,2014,168025.0,72.80112651646448,728.0112651646447
Myanmar,MMR,652670.0,2014,302821.52,46.39734015658756,463.97340156587563
Malaysia,MYS,328550.0,2014,193609.06,58.928339674326594,589.2833967432658
Philippines,PHL,298170.0,2014,69792.64,23.40699600898816,234.0699600898816
Singapore,SGP,733.2,2014,167.252,22.811238406983087,228.11238406983088
Thailand,THA,510890.0,2014,200634.0,39.27146743917477,392.71467439174774
Vietnam,VNM,313429.0,2014,139271.0,44.43462474755048,444.34624747550487
Brunei Darussalam,BRN,5270.0,2015,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2015,950279.0,50.61354905063544,506.1354905063544
Cambodia,KHM,176520.0,2015,88468.2,50.11794697484704,501.1794697484704
Laos,LAO,230800.0,2015,167680.0,72.65164644714038,726.5164644714038
Myanmar,MMR,652670.0,2015,299924.4,45.95345274028223,459.53452740282233
Malaysia,MYS,328550.0,2015,194642.2,59.24279409526708,592.4279409526708
Philippines,PHL,298170.0,2015,70141.5,23.52399637790522,235.2399637790522
Singapore,SGP,733.2,2015,164.714,22.46508456082924,224.6508456082924
Thailand,THA,510890.0,2015,200610.0,39.26676975474172,392.6676975474173
Vietnam,VNM,313429.0,2015,140618.6,44.86457858079502,448.6457858079502
Brunei Darussalam,BRN,5270.0,2016,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2016,952718.0,50.74345452695819,507.4345452695818
Cambodia,KHM,176520.0,2016,86911.3,49.235950600498526,492.35950600498523
Laos,LAO,230800.0,2016,167335.0,72.5021663778163,725.0216637781629
Myanmar,MMR,652670.0,2016,297027.3,45.50956838831262,455.09568388312624
Malaysia,MYS,328550.0,2016,193146.4,58.78752092527774,587.8752092527773
Philippines,PHL,298170.0,2016,70490.4,23.641010161988127,236.41010161988123
Singapore,SGP,733.2,2016,162.855,22.211538461538456,222.11538461538458
Thailand,THA,510890.0,2016,200170.0,39.18064554013584,391.80645540135845
Vietnam,VNM,313429.0,2016,143776.8,45.872207102725014,458.7220710272502
Brunei Darussalam,BRN,5270.0,2017,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2017,939498.0,50.039333822986606,500.3933382298661
Cambodia,KHM,176520.0,2017,85354.4,48.35395422615001,483.53954226150006
Laos,LAO,230800.0,2017,166990.0,72.3526863084922,723.526863084922
Myanmar,MMR,652670.0,2017,294130.2,45.06568403634302,450.65684036343026
Malaysia,MYS,328550.0,2017,192644.9,58.6348805356871,586.348805356871
Philippines,PHL,298170.0,2017,70839.3,23.758023946071035,237.58023946071032
Singapore,SGP,733.2,2017,161.1,21.9721767594108,219.721767594108
Thailand,THA,510890.0,2017,199810.0,39.11018027364012,391.10180273640117
Vietnam,VNM,313429.0,2017,144153.9,45.9925214322861,459.925214322861
Brunei Darussalam,BRN,5270.0,2018,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2018,933442.7,49.71681777920756,497.1681777920756
Cambodia,KHM,176520.0,2018,83797.5,47.47195785180149,474.71957851801494
Laos,LAO,230800.0,2018,166645.0,72.20320623916811,722.032062391681
Myanmar,MMR,652670.0,2018,291233.1,44.621799684373414,446.21799684373417
Malaysia,MYS,328550.0,2018,192143.4,58.48224014609649,584.8224014609648
Philippines,PHL,298170.0,2018,71188.1,23.87500419223933,238.75004192239328
Singapore,SGP,733.2,2018,159.3,21.72667757774141,217.26677577741407
Thailand,THA,510890.0,2018,199450.0,39.039715007144395,390.39715007144395
Vietnam,VNM,313429.0,2018,144912.9,46.23468153872168,462.3468153872169
Brunei Darussalam,BRN,5270.0,2019,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2019,927387.3,49.39429640925072,493.9429640925072
Cambodia,KHM,176520.0,2019,82240.6,46.58996147745299,465.8996147745298
Laos,LAO,230800.0,2019,166300.0,72.05372616984403,720.5372616984401
Myanmar,MMR,652670.0,2019,288336.0,44.17791533240381,441.7791533240382
Malaysia,MYS,328550.0,2019,191641.9,58.32959975650586,583.2959975650585
Philippines,PHL,298170.0,2019,71537.0,23.992017976322234,239.9201797632223
Singapore,SGP,733.2,2019,157.5,21.48117839607201,214.8117839607201
Thailand,THA,510890.0,2019,199090.0,38.96924974064867,389.6924974064867
Vietnam,VNM,313429.0,2019,145671.9,46.47684164515727,464.76841645157276
Brunei Darussalam,BRN,5270.0,2020,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2020,921332.0,49.07178036547167,490.71780365471665
Cambodia,KHM,176520.0,2020,80683.7,45.70796510310446,457.0796510310446
Laos,LAO,230800.0,2020,165955.0,71.90424610051993,719.0424610051992
Myanmar,MMR,652670.0,2020,285438.9,43.73403098043422,437.3403098043422
Malaysia,MYS,328550.0,2020,191140.4,58.17695936691523,581.7695936691523
Philippines,PHL,298170.0,2020,71885.9,24.109031760405138,241.09031760405134
Singapore,SGP,733.2,2020,155.7,21.235679214402616,212.35679214402614
Thailand,THA,510890.0,2020,198730.0,38.89878447415295,388.9878447415295
Vietnam,VNM,313429.0,2020,146430.9,46.71900175159286,467.1900175159287
Brunei Darussalam,BRN,5270.0,2021,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2021,915276.633,48.7492607531535,487.492607531535
Cambodia,KHM,176520.0,2021,79126.8,44.82596872875595,448.2596872875595
Laos,LAO,230800.0,2021,165610.0,71.75476603119584,717.5476603119583
Myanmar,MMR,652670.0,2021,282541.8,43.29014662846461,432.9014662846462
Malaysia,MYS,328550.0,2021,190638.9,58.024318977324604,580.2431897732461
Philippines,PHL,298170.0,2021,72234.8,24.226045544488045,242.26045544488042
Singapore,SGP,733.2,2021,153.9,20.990180032733225,209.90180032733224
Thailand,THA,510890.0,2021,198370.0,38.82831920765722,388.2831920765723
Vietnam,VNM,313429.0,2021,147189.9,46.96116185802845,469.6116185802845
Brunei Darussalam,BRN,5270.0,2022,3800.0,72.10626185958255,721.0626185958255
Indonesia,IDN,1877519.0,2022,909221.311,48.42674353761533,484.2674353761533
Cambodia,KHM,176520.0,2022,77569.9,43.94397235440743,439.43972354407424
Laos,LAO,230800.0,2022,165265.0,71.60528596187174,716.0528596187174
Myanmar,MMR,652670.0,2022,279644.7,42.84626227649501,428.4626227649502
Malaysia,MYS,328550.0,2022,190137.4,57.871678587733975,578.7167858773398
Philippines,PHL,298170.0,2022,72583.7,24.34305932857095,243.43059328570948
Singapore,SGP,733.2,2022,152.1,20.744680851063826,207.44680851063828
Thailand,THA,510890.0,2022,198010.0,38.7578539411615,387.57853941161505
Vietnam,VNM,313429.0,2022,147948.9,47.20332196446404,472.03321964464044
